team_id,name,level,parent_city,region,lon,lat,gdp,population,tourism,football_facility,youth_football,sports_investment,data_quality
T01,杭州市,city,杭州市,浙北,120.1551,30.2741,21860.0,1259.0,250.0,91.4326728753687,30.83620005282249,73.71581830511718,proxy_gdp+proxy_population+proxy_coord_tourism_sports
T02,宁波市,city,宁波市,浙东,121.5503,29.8739,18147.0,969.0,190.0,77.81062365910896,22.604929691552197,62.10861982946314,proxy_gdp+proxy_population+proxy_coord_tourism_sports
T03,温州市,city,温州市,浙南,120.6994,27.9949,9718.0,976.0,175.0,63.296705540344064,24.363377675760493,51.04915562553311,proxy_gdp+proxy_population+proxy_coord_tourism_sports
T04,嘉兴市,city,嘉兴市,浙北,120.7555,30.7461,7628.0,558.0,135.0,67.71393659596187,32.92500428042738,55.72909035553839,proxy_gdp+proxy_population+proxy_coord_tourism_sports
T05,湖州市,city,湖州市,浙北,120.0868,30.8944,4351.0,344.0,120.0,49.612668526774875,23.834102173858728,40.53653781444382,proxy_gdp+proxy_population+proxy_coord_tourism_sports
T06,绍兴市,city,绍兴市,浙东,120.5821,29.9971,7791.0,539.0,145.0,56.40271959438803,21.147410607031066,45.391316489521785,proxy_gdp+proxy_population+proxy_coord_tourism_sports
T07,金华市,city,金华市,浙中,119.6495,29.0895,6600.0,713.0,160.0,49.57423707788994,17.89902629794235,39.598793050764016,proxy_gdp+proxy_population+proxy_coord_tourism_sports
T08,衢州市,city,衢州市,浙西,118.8726,28.9417,2245.0,230.0,90.0,34.381884896723264,16.558845929865544,27.78832011378342,proxy_gdp+proxy_population+proxy_coord_tourism_sports
T09,舟山市,city,舟山市,浙东,122.2072,29.9853,2100.0,117.0,115.0,48.21596813734144,30.571090828644948,40.45668561507636,proxy_gdp+proxy_population+proxy_coord_tourism_sports
T10,台州市,city,台州市,浙南,121.4208,28.6557,6400.0,671.0,135.0,60.81124497991968,29.598399962634698,49.88755020080321,proxy_gdp+proxy_population+proxy_coord_tourism_sports
T11,丽水市,city,丽水市,浙西南,119.9229,28.4672,2000.0,251.0,110.0,42.704933082638675,26.160193686708897,35.51191359350254,proxy_gdp+proxy_population+proxy_coord_tourism_sports
T12,建德市,county,杭州市,浙北,120.0476,30.460295461813654,450.11,44.3,72.18875502008034,29.58726884348641,22.517574444038132,24.975729403925396,official_gdp+official_population+proxy_coord_tourism_sports
T13,桐庐县,county,杭州市,浙北,120.0301,30.057593649053892,469.23,45.9,65.97640562248996,27.601186477166195,20.345122978982033,23.14385008018772,official_gdp+official_population+proxy_coord_tourism_sports
T14,淳安县,county,杭州市,浙北,120.4401,30.2741,280.49,32.1,59.26204819277109,23.026485895837297,17.848557041557513,19.275397106847127,official_gdp+official_population+proxy_coord_tourism_sports
T15,余姚市,county,宁波市,浙东,121.5503,30.0889,1571.06,126.46,40.28915662650602,37.346509822545954,22.538208242685684,30.941082829405445,official_gdp+official_population+proxy_coord_tourism_sports
T16,慈溪市,county,宁波市,浙东,121.3003,29.8739,2639.45,187.19,50.73343373493976,49.07884939246365,29.280362975523605,40.91317915710136,official_gdp+official_population+proxy_coord_tourism_sports
T17,象山县,county,宁波市,浙东,121.5503,29.5889,770.15,57.71,43.72289156626506,34.11873152766056,24.22084212548598,28.709035721870748,official_gdp+official_population+proxy_coord_tourism_sports
T18,宁海县,county,宁波市,浙东,121.7303,29.8739,1001.17,71.0,50.59036144578313,40.110057676923056,28.561338775994017,33.92585030382726,official_gdp+official_population+proxy_coord_tourism_sports
T19,瑞安市,county,温州市,浙南,120.85142795795511,28.14692795795511,1285.13,153.46,24.632435993975903,43.79256201590197,30.825905108066262,37.02496010429145,official_gdp+official_population+proxy_coord_tourism_sports
T20,乐清市,county,温州市,浙南,120.6994,28.2449,1663.53,147.58,20.053181475903617,39.87395797697415,24.656585289071824,33.17082050596427,official_gdp+official_population+proxy_coord_tourism_sports
T21,龙港市,county,温州市,浙南,120.49787456736183,28.19642543263817,409.49,47.16,19.328407379518072,29.65432943818966,23.05098529676478,25.094598933853,official_gdp+official_population+proxy_coord_tourism_sports
T22,永嘉县,county,温州市,浙南,120.51939999999999,27.9949,564.45,88.1,27.564476656626507,42.28353990027421,34.3974235402541,36.36756360829002,official_gdp+official_population+proxy_coord_tourism_sports
T23,平阳县,county,温州市,浙南,120.54737204204488,27.842872042044892,711.81,87.1,17.961219879518072,30.72075486458194,21.513502866339486,25.683300191417366,official_gdp+official_population+proxy_coord_tourism_sports
T24,苍南县,county,温州市,浙南,120.6994,27.7449,471.92,84.85,17.944747740963855,28.4684449741518,21.476854660538876,23.928603119119405,official_gdp+official_population+proxy_coord_tourism_sports
